POS,frequency of heterozygosity,total reads,coverage,,
803280,28,127,0.220472441,,
1503921,28,104,0.269230769,,
1505716,28,135,0.207407407,,
1525221,28,151,0.185430464,,
18291,29,140,0.207142857,,
449770,29,291,0.099656357,,
527797,29,132,0.21969697,,
927608,29,339,0.085545723,,
1525220,29,162,0.179012346,,
386094,30,272,0.110294118,,
1490249,30,287,0.104529617,,
434552,31,187,0.165775401,,
29152,32,322,0.099378882,,
100477,32,166,0.192771084,,
434538,32,224,0.142857143,,
436237,32,140,0.228571429,,
892764,32,128,0.25,,
212460,33,151,0.218543046,,
434531,33,206,0.160194175,,
434542,33,208,0.158653846,,
527743,33,122,0.270491803,,
538141,33,150,0.22,,
803638,33,171,0.192982456,,
815019,33,154,0.214285714,,
15005,34,149,0.228187919,,
18279,34,160,0.2125,,
434704,34,273,0.124542125,,
538120,34,154,0.220779221,,
691402,35,172,0.203488372,,
803751,35,153,0.22875817,,
1301390,35,450,0.077777778,,
538066,36,147,0.244897959,,
1503993,36,132,0.272727273,,
1008800,37,466,0.079399142,,
386149,39,367,0.10626703,,
516407,39,202,0.193069307,,
1525216,39,194,0.201030928,,
803804,40,187,0.213903743,,
803809,41,199,0.206030151,,
385050,42,160,0.2625,,
1523281,42,274,0.153284672,,
309621,43,350,0.122857143,,
434776,43,246,0.174796748,,
309622,44,364,0.120879121,,
435412,44,245,0.179591837,,
803795,44,200,0.22,,
1239087,45,441,0.102040816,,
61039,46,357,0.128851541,,
434864,46,239,0.192468619,,
538174,46,211,0.218009479,,
1178350,46,185,0.248648649,,
1505703,46,255,0.180392157,,
212479,47,258,0.182170543,,
434693,47,325,0.144615385,,
981160,47,286,0.164335664,,
981159,48,304,0.157894737,,
385065,49,194,0.25257732,,
410933,49,601,0.081530782,,
1523586,49,241,0.203319502,,
802851,50,286,0.174825175,,
1523284,50,334,0.149700599,,
385919,52,433,0.120092379,,
434834,52,273,0.19047619,,
1245593,52,243,0.21399177,,
212482,53,301,0.176079734,,
437081,53,234,0.226495726,,
652069,53,253,0.209486166,,
678076,53,228,0.23245614,,
1154321,53,341,0.15542522,,
592981,54,207,0.260869565,,
966497,54,233,0.231759657,,
1504024,54,234,0.230769231,,
17151,55,257,0.214007782,,
434679,55,378,0.145502646,,
981146,55,351,0.156695157,,
32141,56,288,0.194444444,,
721734,56,254,0.220472441,,
778814,56,421,0.133016627,,
1505691,56,322,0.173913043,,
527851,57,290,0.196551724,,
652071,57,267,0.213483146,,
386762,58,384,0.151041667,,
668476,59,412,0.143203883,,
721203,59,298,0.197986577,,
981149,59,388,0.152061856,,
1245635,59,249,0.236947791,,
651528,61,316,0.193037975,,
1151661,61,296,0.206081081,,
1245641,61,266,0.229323308,,
1504019,61,252,0.242063492,,
436177,62,245,0.253061224,,
759692,62,286,0.216783217,,
979891,63,434,0.14516129,,
1505809,63,313,0.201277955,,
4717,64,415,0.154216867,,
538183,64,295,0.216949153,,
754425,64,268,0.23880597,,
1251246,64,347,0.18443804,,
1357616,64,374,0.171122995,,
384885,65,319,0.203761755,,
212428,66,268,0.246268657,,
385079,66,300,0.22,,
927628,66,423,0.156028369,,
945604,66,394,0.16751269,,
979873,67,433,0.154734411,,
607097,68,321,0.211838006,,
651534,68,326,0.208588957,,
651974,68,389,0.174807198,,
671820,68,340,0.2,,
1514235,68,318,0.213836478,,
1524477,68,282,0.241134752,,
4716,69,444,0.155405405,,
651540,69,347,0.198847262,,
656349,69,365,0.189041096,,
759714,69,354,0.194915254,,
1493869,69,332,0.207831325,,
979879,70,437,0.160183066,,
981139,70,403,0.17369727,,
1276349,70,431,0.162412993,,
1365835,70,409,0.171149144,,
1517124,70,327,0.214067278,,
759660,71,352,0.201704545,,
1448987,71,552,0.128623188,,
1504438,71,362,0.196132597,,
1505850,71,410,0.173170732,,
1513839,71,377,0.188328912,,
979844,72,416,0.173076923,,
1016717,72,306,0.235294118,,
1519850,72,354,0.203389831,,
5223,73,400,0.1825,,
513608,73,534,0.13670412,,
806407,73,458,0.159388646,,
123113,74,315,0.234920635,,
926737,74,593,0.124789207,,
945712,74,461,0.160520607,,
5622,75,453,0.165562914,,
812940,75,459,0.163398693,,
668626,76,576,0.131944444,,
1524207,76,370,0.205405405,,
449794,77,587,0.131175468,,
652106,77,415,0.185542169,,
1458188,77,415,0.185542169,,
23275,78,799,0.097622028,,
437065,78,384,0.203125,,
651881,78,596,0.130872483,,
759718,78,378,0.206349206,,
1288413,78,330,0.236363636,,
1508550,78,402,0.194029851,,
1514258,78,414,0.188405797,,
1517115,78,362,0.215469613,,
668861,79,441,0.179138322,,
678110,79,400,0.1975,,
1054765,79,432,0.18287037,,
1296732,79,416,0.189903846,,
1407845,79,352,0.224431818,,
1484812,79,437,0.180778032,,
1515708,79,470,0.168085106,,
43849,80,443,0.180586907,,
47365,80,473,0.169133192,,
384581,80,469,0.170575693,,
436270,80,420,0.19047619,,
652118,80,439,0.182232346,,
803559,80,408,0.196078431,,
808808,80,428,0.186915888,,
979805,80,521,0.153550864,,
979901,80,483,0.16563147,,
1524468,80,364,0.21978022,,
513586,81,558,0.14516129,,
706922,81,470,0.172340426,,
1257111,81,492,0.164634146,,
147846,82,358,0.229050279,,
151765,82,428,0.191588785,,
218010,82,396,0.207070707,,
592539,82,408,0.200980392,,
803900,82,408,0.200980392,,
1251433,82,473,0.173361522,,
651556,83,428,0.193925234,,
803974,83,370,0.224324324,,
1296045,83,672,0.123511905,,
1374858,83,469,0.176972281,,
1455714,83,370,0.224324324,,
1479537,83,467,0.177730193,,
598232,84,576,0.145833333,,
653323,84,456,0.184210526,,
803973,84,373,0.225201072,,
979931,84,487,0.1724846,,
979973,84,507,0.165680473,,
979983,84,529,0.15879017,,
1524054,84,539,0.155844156,,
934256,85,449,0.189309577,,
1479403,85,468,0.181623932,,
1504583,85,419,0.202863962,,
1516853,85,445,0.191011236,,
592967,86,420,0.204761905,,
802878,86,594,0.144781145,,
1438202,86,557,0.154398564,,
1457379,86,465,0.184946237,,
1505642,86,546,0.157509158,,
1521834,86,416,0.206730769,,
1523440,86,392,0.219387755,,
1524043,86,551,0.156079855,,
17898,87,418,0.208133971,,
127974,87,467,0.186295503,,
200193,87,469,0.185501066,,
544641,87,444,0.195945946,,
945419,87,642,0.135514019,,
1018330,87,513,0.169590643,,
1455713,87,394,0.220812183,,
1519267,87,534,0.162921348,,
257569,88,555,0.158558559,,
309630,88,592,0.148648649,,
945892,88,537,0.163873371,,
203647,89,448,0.198660714,,
250434,89,486,0.183127572,,
340395,89,455,0.195604396,,
587932,89,539,0.165120594,,
979813,89,547,0.162705667,,
1248074,89,575,0.154782609,,
1444985,89,428,0.207943925,,
103171,90,445,0.202247191,,
108806,90,559,0.161001789,,
197574,90,491,0.183299389,,
390744,90,439,0.20501139,,
692140,90,516,0.174418605,,
842711,90,681,0.13215859,,
934364,90,611,0.147299509,,
1065086,90,591,0.152284264,,
1368506,90,503,0.178926441,,
1463528,90,611,0.147299509,,
1493820,90,515,0.174757282,,
1513733,90,526,0.171102662,,
1516810,90,563,0.159857904,,
22049,91,469,0.194029851,,
107930,91,582,0.156357388,,
127767,91,493,0.184584178,,
520815,91,557,0.163375224,,
525250,91,452,0.201327434,,
526840,91,458,0.198689956,,
606952,91,543,0.167587477,,
668554,91,662,0.137462236,,
887044,91,474,0.191983122,,
1262475,91,507,0.179487179,,
1296225,91,521,0.174664107,,
1380625,91,473,0.192389006,,
1432565,91,576,0.157986111,,
1463543,91,599,0.151919866,,
56929,92,934,0.098501071,,
220433,92,404,0.227722772,,
386095,92,602,0.15282392,,
435072,92,503,0.182902584,,
593463,92,470,0.195744681,,
651778,92,617,0.14910859,,
788528,92,523,0.175908222,,
980016,92,602,0.15282392,,
1280121,92,471,0.195329087,,
1299807,92,494,0.186234818,,
1508583,92,530,0.173584906,,
23797,93,483,0.192546584,,
30128,93,558,0.166666667,,
171294,93,625,0.1488,,
220445,93,405,0.22962963,,
309607,93,607,0.153212521,,
339391,93,496,0.1875,,
437054,93,481,0.193347193,,
651813,93,594,0.156565657,,
652154,93,563,0.165186501,,
1175302,93,610,0.152459016,,
1256225,93,575,0.16173913,,
1416703,93,442,0.21040724,,
1484733,93,560,0.166071429,,
1493831,93,539,0.172541744,,
1515661,93,593,0.15682968,,
1517088,93,483,0.192546584,,
50586,94,465,0.202150538,,
149689,94,642,0.146417445,,
189246,94,580,0.162068966,,
217975,94,442,0.212669683,,
526864,94,480,0.195833333,,
934358,94,691,0.136034732,,
981112,94,588,0.159863946,,
1017610,94,590,0.159322034,,
1432487,94,509,0.184675835,,
29103,95,456,0.208333333,,
72290,95,622,0.152733119,,
126391,95,520,0.182692308,,
154372,95,537,0.176908752,,
203446,95,588,0.161564626,,
210686,95,442,0.214932127,,
276015,95,484,0.196280992,,
788889,95,599,0.158597663,,
833772,95,572,0.166083916,,
1056963,95,505,0.188118812,,
1248088,95,626,0.151757188,,
1317255,95,516,0.184108527,,
1372812,95,741,0.128205128,,
1449089,95,518,0.183397683,,
1456284,95,491,0.193482688,,
1463461,95,550,0.172727273,,
1484729,95,593,0.160202361,,
1493806,95,560,0.169642857,,
1516658,95,590,0.161016949,,
64139,96,585,0.164102564,,
103172,96,477,0.201257862,,
200151,96,527,0.182163188,,
385094,96,500,0.192,,
526042,96,467,0.205567452,,
1057856,96,599,0.160267112,,
1254929,96,491,0.195519348,,
1283930,96,614,0.156351792,,
1341684,96,554,0.173285199,,
1432578,96,579,0.165803109,,
1465643,96,673,0.142644874,,
1484273,96,566,0.169611307,,
1498564,96,474,0.202531646,,
50523,97,482,0.201244813,,
55619,97,675,0.143703704,,
127965,97,476,0.203781513,,
151696,97,563,0.172291297,,
228112,97,576,0.168402778,,
390756,97,466,0.208154506,,
449471,97,688,0.140988372,,
503375,97,503,0.192842942,,
526063,97,514,0.188715953,,
651714,97,645,0.150387597,,
692149,97,553,0.175406872,,
713623,97,520,0.186538462,,
803989,97,441,0.219954649,,
1057855,97,603,0.160862355,,
1508644,97,507,0.191321499,,
1514370,97,528,0.183712121,,
28028,98,638,0.153605016,,
220373,98,485,0.202061856,,
257586,98,562,0.174377224,,
449477,98,662,0.148036254,,
509100,98,530,0.18490566,,
692170,98,571,0.171628722,,
819242,98,822,0.119221411,,
1248004,98,645,0.151937984,,
1344681,98,534,0.183520599,,
1432529,98,564,0.173758865,,
1504046,98,443,0.221218962,,
1516666,98,632,0.155063291,,
308968,99,573,0.172774869,,
579869,99,522,0.189655172,,
654780,99,551,0.179673321,,
736660,99,513,0.192982456,,
1220178,99,657,0.150684932,,
1262292,99,468,0.211538462,,
1338536,99,560,0.176785714,,
1493916,99,484,0.204545455,,
1523232,99,519,0.190751445,,
34954,100,539,0.185528757,,
56967,100,807,0.123915737,,
72338,100,607,0.164744646,,
72434,100,689,0.145137881,,
126416,100,546,0.183150183,,
127692,100,604,0.165562914,,
129666,100,509,0.196463654,,
184169,100,608,0.164473684,,
220463,100,435,0.229885057,,
276293,100,539,0.185528757,,
375950,100,517,0.193423598,,
386446,100,727,0.137551582,,
410549,100,887,0.112739572,,
449562,100,583,0.171526587,,
526837,100,536,0.186567164,,
526882,100,573,0.17452007,,
579813,100,577,0.173310225,,
588583,100,613,0.163132137,,
652186,100,636,0.157232704,,
774849,100,585,0.170940171,,
838649,100,596,0.167785235,,
955955,100,497,0.201207243,,
959287,100,680,0.147058824,,
979786,100,623,0.160513644,,
1171430,100,622,0.160771704,,
1238647,100,645,0.15503876,,
1238648,100,640,0.15625,,
1246710,100,640,0.15625,,
1248024,100,640,0.15625,,
19119,101,562,0.179715302,,
56962,101,828,0.121980676,,
127782,101,604,0.167218543,,
257501,101,606,0.166666667,,
332781,101,578,0.174740484,,
390563,101,645,0.156589147,,
390684,101,579,0.174438687,,
426781,101,539,0.187384045,,
450116,101,599,0.168614357,,
588705,101,585,0.172649573,,
712092,101,580,0.174137931,,
788247,101,641,0.157566303,,
804011,101,501,0.201596806,,
1152705,101,746,0.13538874,,
1330118,101,560,0.180357143,,
1338535,101,571,0.176882662,,
1341693,101,552,0.182971014,,
5608,102,654,0.155963303,,
128025,102,579,0.176165803,,
257584,102,589,0.173174873,,
337809,102,612,0.166666667,,
526072,102,522,0.195402299,,
526090,102,513,0.198830409,,
526111,102,634,0.160883281,,
570358,102,570,0.178947368,,
805589,102,641,0.159126365,,
805735,102,655,0.155725191,,
819221,102,779,0.130937099,,
931593,102,566,0.180212014,,
947223,102,538,0.189591078,,
1262181,102,509,0.200392927,,
1285878,102,564,0.180851064,,
1295980,102,567,0.17989418,,
1341695,102,565,0.180530973,,
1516703,102,682,0.149560117,,
118488,103,599,0.171953255,,
127834,103,652,0.15797546,,
149678,103,701,0.146932953,,
212488,103,536,0.192164179,,
250440,103,558,0.184587814,,
334761,103,567,0.181657848,,
353410,103,589,0.174872666,,
402856,103,489,0.210633947,,
449566,103,694,0.148414986,,
526087,103,555,0.185585586,,
526135,103,544,0.189338235,,
587033,103,626,0.164536741,,
652176,103,607,0.169686985,,
659912,103,670,0.153731343,,
679438,103,537,0.191806331,,
716118,103,606,0.169966997,,
803551,103,565,0.182300885,,
807222,103,520,0.198076923,,
809670,103,604,0.170529801,,
947403,103,517,0.199226306,,
1028509,103,664,0.155120482,,
1201621,103,689,0.149492017,,
1253958,103,662,0.155589124,,
1254881,103,616,0.167207792,,
1280061,103,616,0.167207792,,
1285752,103,617,0.166936791,,
1289939,103,567,0.181657848,,
1296035,103,798,0.129072682,,
1341251,103,701,0.146932953,,
1425177,103,643,0.160186625,,
1504222,103,622,0.165594855,,
1516083,103,706,0.145892351,,
29654,104,542,0.191881919,,
39986,104,513,0.202729045,,
50545,104,496,0.209677419,,
220385,104,517,0.201160542,,
227127,104,784,0.132653061,,
233915,104,650,0.16,,
384595,104,609,0.170771757,,
449579,104,627,0.165869219,,
526102,104,545,0.190825688,,
526888,104,586,0.177474403,,
568062,104,631,0.16481775,,
579940,104,600,0.173333333,,
636391,104,552,0.188405797,,
697891,104,661,0.157337368,,
754044,104,552,0.188405797,,
774288,104,698,0.148997135,,
805830,104,682,0.152492669,,
1255983,104,693,0.15007215,,
1302868,104,842,0.123515439,,
1323104,104,537,0.193668529,,
1323143,104,568,0.183098592,,
1449123,104,717,0.145048815,,
1457335,104,611,0.170212766,,
1462057,104,754,0.137931034,,
1477505,104,631,0.16481775,,
18664,105,573,0.183246073,,
28198,105,589,0.178268251,,
41590,105,658,0.159574468,,
128040,105,564,0.186170213,,
288063,105,587,0.178875639,,
369971,105,613,0.171288744,,
449578,105,636,0.16509434,,
470435,105,599,0.175292154,,
498138,105,588,0.178571429,,
526783,105,690,0.152173913,,
579764,105,634,0.165615142,,
586700,105,753,0.139442231,,
605994,105,671,0.156482861,,
803512,105,619,0.169628433,,
892662,105,516,0.203488372,,
934175,105,592,0.177364865,,
1057776,105,729,0.144032922,,
1289972,105,570,0.184210526,,
1323053,105,484,0.216942149,,
1495580,105,607,0.172981878,,
1505562,105,581,0.180722892,,
1511153,105,603,0.174129353,,
1517708,105,601,0.174708819,,
27711,106,615,0.172357724,,
226314,106,685,0.154744526,,
252749,106,644,0.164596273,,
369194,106,564,0.187943262,,
383443,106,502,0.211155378,,
390560,106,683,0.155197657,,
435630,106,551,0.192377495,,
526117,106,579,0.183074266,,
526558,106,660,0.160606061,,
526810,106,656,0.161585366,,
563010,106,438,0.242009132,,
605615,106,742,0.142857143,,
636237,106,1039,0.102021174,,
640565,106,588,0.180272109,,
672138,106,751,0.14114514,,
692655,106,554,0.19133574,,
721110,106,535,0.198130841,,
728918,106,586,0.180887372,,
747532,106,484,0.219008264,,
754071,106,553,0.191681736,,
757452,106,436,0.243119266,,
760152,106,619,0.171243942,,
806752,106,660,0.160606061,,
822572,106,632,0.167721519,,
1055562,106,575,0.184347826,,
1071246,106,585,0.181196581,,
1150131,106,637,0.166405024,,
1240134,106,622,0.170418006,,
1272092,106,526,0.201520913,,
1289885,106,609,0.174055829,,
1302793,106,769,0.137841352,,
1314697,106,650,0.163076923,,
1322477,106,697,0.152080344,,
1461955,106,711,0.149085795,,
1462081,106,685,0.154744526,,
1508454,106,524,0.202290076,,
1518332,106,800,0.1325,,
29570,107,624,0.171474359,,
73193,107,599,0.178631052,,
128052,107,618,0.173139159,,
155446,107,545,0.196330275,,
218065,107,551,0.194192377,,
370499,107,506,0.211462451,,
448913,107,603,0.177446103,,
526099,107,524,0.204198473,,
526795,107,654,0.163608563,,
567972,107,639,0.167449139,,
689315,107,591,0.181049069,,
697575,107,639,0.167449139,,
822719,107,625,0.1712,,
911925,107,545,0.196330275,,
934184,107,589,0.181663837,,
947218,107,599,0.178631052,,
947412,107,599,0.178631052,,
995820,107,535,0.2,,
1057818,107,612,0.174836601,,
1281447,107,593,0.180438449,,
1302894,107,873,0.122565865,,
1338537,107,595,0.179831933,,
1441483,107,684,0.156432749,,
1444847,107,765,0.139869281,,
1456144,107,575,0.186086957,,
1517095,107,571,0.187390543,,
1524003,107,587,0.182282794,,
50502,108,652,0.165644172,,
65456,108,598,0.180602007,,
97444,108,553,0.195298373,,
127800,108,625,0.1728,,
128029,108,575,0.187826087,,
202127,108,752,0.143617021,,
230153,108,514,0.210116732,,
231806,108,776,0.139175258,,
237897,108,541,0.199630314,,
309554,108,745,0.144966443,,
335392,108,591,0.182741117,,
526927,108,610,0.17704918,,
688608,108,589,0.18336163,,
719745,108,648,0.166666667,,
757454,108,436,0.247706422,,
803479,108,633,0.170616114,,
805798,108,610,0.17704918,,
1317337,108,604,0.178807947,,
1331329,108,863,0.125144844,,
1331692,108,696,0.155172414,,
1331698,108,668,0.161676647,,
1332047,108,651,0.165898618,,
1444709,108,750,0.144,,
20659,109,608,0.179276316,,
79321,109,639,0.17057903,,
128034,109,570,0.19122807,,
192319,109,653,0.166921899,,
331794,109,635,0.171653543,,
332265,109,617,0.176661264,,
390566,109,673,0.161961367,,
426545,109,649,0.167950693,,
435532,109,653,0.166921899,,
541183,109,764,0.142670157,,
579879,109,545,0.2,,
587113,109,714,0.152661064,,
605558,109,698,0.156160458,,
672136,109,773,0.141009056,,
707014,109,632,0.172468354,,
809868,109,688,0.158430233,,
844053,109,662,0.164652568,,
999271,109,641,0.170046802,,
1153303,109,573,0.190226876,,
1322553,109,609,0.178981938,,
1344727,109,622,0.175241158,,
1374919,109,633,0.172195893,,
1441482,109,660,0.165151515,,
1464658,109,588,0.18537415,,
1471256,109,600,0.181666667,,
1506008,109,806,0.135235732,,
18702,110,605,0.181818182,,
19108,110,634,0.173501577,,
20642,110,541,0.203327172,,
31427,110,645,0.170542636,,
71523,110,622,0.176848875,,
84213,110,603,0.182421227,,
107963,110,679,0.162002946,,
108845,110,647,0.170015456,,
127854,110,727,0.15130674,,
128061,110,603,0.182421227,,
563021,110,539,0.204081633,,
697912,110,745,0.147651007,,
726292,110,761,0.144546649,,
728966,110,644,0.170807453,,
791482,110,571,0.192644483,,
1057366,110,577,0.190641248,,
1216405,110,565,0.194690265,,
1217807,110,663,0.165912519,,
1240175,110,712,0.154494382,,
1260837,110,855,0.128654971,,
1283911,110,683,0.161054173,,
1331710,110,703,0.156472262,,
1339570,110,750,0.146666667,,
1371121,110,691,0.15918958,,
1409150,110,578,0.190311419,,
1416560,110,705,0.156028369,,
1419516,110,590,0.186440678,,
1451577,110,645,0.170542636,,
1464680,110,649,0.169491525,,
1468015,110,616,0.178571429,,
1468562,110,613,0.179445351,,
1521941,110,527,0.208728653,,
19249,111,707,0.157001414,,
27734,111,604,0.183774834,,
31412,111,626,0.177316294,,
32090,111,713,0.155680224,,
48046,111,720,0.154166667,,
79746,111,625,0.1776,,
170914,111,768,0.14453125,,
202117,111,777,0.142857143,,
227641,111,738,0.150406504,,
233636,111,644,0.172360248,,
252925,111,599,0.185308848,,
332754,111,585,0.18974359,,
334393,111,669,0.165919283,,
449650,111,644,0.172360248,,
450139,111,587,0.189097104,,
570357,111,604,0.183774834,,
588560,111,703,0.157894737,,
588711,111,655,0.169465649,,
659864,111,909,0.122112211,,
684171,111,746,0.148793566,,
689532,111,695,0.15971223,,
721119,111,564,0.196808511,,
827442,111,726,0.152892562,,
833834,111,633,0.17535545,,
947577,111,650,0.170769231,,
980072,111,706,0.157223796,,
995837,111,574,0.193379791,,
1057526,111,594,0.186868687,,
1216413,111,611,0.181669394,,
1253205,111,708,0.156779661,,
1316130,111,548,0.202554745,,
1338288,111,568,0.195422535,,
1444711,111,765,0.145098039,,
1451576,111,654,0.169724771,,
1458931,111,597,0.185929648,,
1463798,111,788,0.140862944,,
1464656,111,636,0.174528302,,
1495218,111,598,0.185618729,,
1496077,111,656,0.169207317,,
1505951,111,685,0.162043796,,
19248,112,709,0.15796897,,
25924,112,681,0.164464023,,
29693,112,679,0.164948454,,
29701,112,740,0.151351351,,
79322,112,645,0.173643411,,
108161,112,568,0.197183099,,
174089,112,689,0.162554427,,
231629,112,618,0.181229773,,
297184,112,771,0.145265888,,
356133,112,626,0.178913738,,
416754,112,662,0.16918429,,
491790,112,608,0.184210526,,
526561,112,734,0.152588556,,
526942,112,697,0.160688666,,
568017,112,676,0.165680473,,
593121,112,621,0.180354267,,
689547,112,634,0.176656151,,
767443,112,578,0.193771626,,
771211,112,576,0.194444444,,
812667,112,585,0.191452991,,
830754,112,742,0.150943396,,
837527,112,561,0.199643494,,
858371,112,677,0.165435746,,
884761,112,530,0.211320755,,
893156,112,626,0.178913738,,
980090,112,696,0.16091954,,
1216848,112,760,0.147368421,,
1217208,112,696,0.16091954,,
1268901,112,679,0.164948454,,
1317219,112,655,0.170992366,,
1341287,112,598,0.18729097,,
1414499,112,772,0.14507772,,
1450091,112,606,0.184818482,,
1466364,112,665,0.168421053,,
1466633,112,612,0.183006536,,
1466643,112,606,0.184818482,,
1468017,112,599,0.186978297,,
73466,113,666,0.16966967,,
76252,113,550,0.205454545,,
268919,113,646,0.174922601,,
384607,113,685,0.164963504,,
403597,113,667,0.169415292,,
426788,113,638,0.177115987,,
435564,113,697,0.162123386,,
449823,113,687,0.164483261,,
457671,113,659,0.171471927,,
501007,113,882,0.128117914,,
526483,113,748,0.151069519,,
526495,113,770,0.146753247,,
526918,113,623,0.181380417,,
583765,113,605,0.18677686,,
591737,113,533,0.212007505,,
605973,113,697,0.162123386,,
682420,113,656,0.172256098,,
692593,113,644,0.175465839,,
706601,113,590,0.191525424,,
713336,113,670,0.168656716,,
802822,113,797,0.141781681,,
839672,113,720,0.156944444,,
951132,113,500,0.226,,
1057123,113,624,0.181089744,,
1282809,113,687,0.164483261,,
1285941,113,751,0.150466045,,
1315959,113,746,0.151474531,,
1336494,113,710,0.15915493,,
1460859,113,623,0.181380417,,
1471232,113,667,0.169415292,,
1471461,113,643,0.175738725,,
1484422,113,748,0.151069519,,
1513649,113,696,0.162356322,,
1514403,113,628,0.179936306,,
1522055,113,705,0.160283688,,
19251,114,717,0.158995816,,
19252,114,697,0.163558106,,
21086,114,803,0.141967621,,
28968,114,689,0.165457184,,
31492,114,612,0.18627451,,
31685,114,625,0.1824,,
41303,114,775,0.147096774,,
45363,114,637,0.178963893,,
81963,114,709,0.160789845,,
84173,114,629,0.181240064,,
102008,114,612,0.18627451,,
107994,114,624,0.182692308,,
150838,114,654,0.174311927,,
195463,114,553,0.206148282,,
195647,114,743,0.153432032,,
257200,114,679,0.167893962,,
526948,114,670,0.170149254,,
654798,114,792,0.143939394,,
659970,114,698,0.163323782,,
803499,114,687,0.165938865,,
959248,114,617,0.184764992,,
973794,114,644,0.177018634,,
1185640,114,673,0.169390788,,
1216411,114,615,0.185365854,,
1217501,114,793,0.143757881,,
1302786,114,851,0.133960047,,
1313591,114,547,0.208409506,,
1320420,114,667,0.170914543,,
1341209,114,742,0.153638814,,
1433591,114,717,0.158995816,,
1461071,114,666,0.171171171,,
1473027,114,735,0.155102041,,
1484599,114,619,0.184168013,,
1493732,114,667,0.170914543,,
1513033,114,604,0.188741722,,
1515864,114,790,0.144303797,,
1517744,114,714,0.159663866,,
1518926,114,677,0.168389956,,
1518997,114,676,0.168639053,,
19084,115,697,0.164992826,,
19180,115,670,0.171641791,,
30086,115,637,0.180533752,,
31511,115,637,0.180533752,,
33904,115,638,0.180250784,,
102115,115,756,0.152116402,,
108917,115,765,0.150326797,,
127812,115,710,0.161971831,,
127869,115,694,0.165706052,,
204805,115,597,0.192629816,,
218512,115,576,0.199652778,,
334805,115,767,0.149934811,,
340351,115,648,0.177469136,,
348490,115,665,0.172932331,,
391128,115,673,0.170876672,,
433703,115,635,0.181102362,,
