POS,freq,psl5,psl2,psl5/psl2,inconclusive
21001,1359,703,614,42,0
21083,1303,606,662,35,0
21086,1245,608,608,29,0
21113,1512,723,747,42,0
21119,1460,687,728,45,0
21165,1517,696,776,45,0
21255,1522,787,701,34,0
21300,1594,785,767,42,0
21337,1591,787,768,36,0
21380,1479,747,687,45,0
21431,1421,723,667,31,0
21450,1423,711,675,37,0
21476,1357,672,656,29,0
21481,1320,649,644,27,0
21677,1552,806,715,31,0
21687,1592,803,750,39,0
21759,1448,686,720,42,0
21781,1840,777,1006,57,0
21807,1826,780,1000,46,0
21893,1732,743,953,36,0
21929,1698,820,829,49,0
22006,1333,649,648,36,0
22049,1147,533,585,29,0
22139,1766,769,952,45,0
22166,1744,767,920,57,0
22253,1463,686,741,36,0
22310,1513,694,773,46,0
22312,1509,684,781,44,0
22379,1577,758,773,46,0
22481,1528,736,751,41,0
22513,1465,693,731,41,0
22594,1549,733,772,44,0
22656,1637,822,764,51,0
22713,1575,791,736,48,0
22728,1612,827,736,49,0
22874,1341,701,605,35,0
22928,1391,671,676,44,0
23066,1452,706,698,48,0
23143,1398,672,690,36,0
23241,1427,706,686,35,0
23275,1106,809,293,4,0
23305,1521,717,771,33,0
23665,1296,652,606,38,0
23797,1102,601,474,27,0
24478,1382,711,637,34,0
24553,1662,848,761,53,0
24643,2075,996,1024,55,0
24745,1827,899,881,47,0
24841,1533,786,707,40,0
24937,1482,738,703,41,0
25924,1311,669,611,31,0
26679,1396,750,620,26,0
27072,1350,684,632,34,0
27090,1327,704,587,36,0
27189,1352,700,606,46,0
27210,1297,657,607,33,0
27498,1356,704,617,35,0
27600,1440,703,704,33,0
27678,1375,623,715,37,0
27711,1087,490,563,34,0
27734,1127,511,580,36,0
28028,1155,586,544,25,0
28198,1110,578,500,32,0
28308,1293,661,603,29,0
28542,1371,675,669,27,0
28578,1328,640,657,31,0
28798,1558,791,725,42,0
28853,1453,722,695,36,0
28968,1255,595,634,26,0
29103,1150,567,552,31,0
29118,742,185,546,11,0
29152,774,610,163,1,0
29441,1500,735,729,36,0
29570,1233,582,624,27,0
29654,1203,589,580,34,0
29693,1259,623,603,33,0
29701,1242,613,596,33,0
30086,1213,587,594,32,0
30128,1178,576,584,18,0
30446,1774,856,872,46,0
30464,1764,851,864,49,0
30826,1141,580,523,38,0
31412,1261,641,595,25,0
31427,1246,625,589,32,0
31492,1208,599,575,34,0
31511,1233,621,579,33,0
31685,1234,576,626,32,0
31709,1235,595,610,30,0
31833,1219,616,571,32,0
32090,1258,626,608,24,0
32141,912,207,690,15,0
32217,1370,679,658,33,0
32595,1448,733,675,40,0
32706,1566,836,682,48,0
32904,1348,716,593,39,0
33027,1415,703,679,33,0
33135,1531,760,716,55,0
33211,1434,704,684,46,0
33253,1355,669,648,38,0
33853,1317,670,618,29,0
33856,1328,675,616,37,0
33904,1271,676,557,38,0
34063,1278,640,612,26,0
34267,1491,714,732,45,0
34954,1208,593,585,30,0
35807,1237,609,590,38,0
36103,1307,669,601,37,0
37036,1445,695,705,45,0
37069,1280,575,657,48,0
37138,1248,588,624,36,0
37147,1247,566,653,28,0
37478,1443,730,680,33,0
37486,1445,730,680,35,0
37785,1239,649,543,47,0
38098,1532,814,669,49,0
38160,1589,840,704,45,0
38200,1641,826,776,39,0
38279,1744,851,853,40,0
38419,1294,612,655,27,0
38616,1532,763,737,32,0
39021,1672,820,802,50,0
39281,1355,660,661,34,0
39500,1294,643,617,34,0
39782,1313,628,648,37,0
39986,1098,527,534,37,0
40286,1351,697,634,20,0
40469,1344,671,633,40,0
40598,1455,710,709,36,0
40666,1382,642,692,48,0
40775,1348,622,689,37,0
40838,1311,671,605,35,0
40965,1334,649,649,36,0
41303,1192,548,615,29,0
41318,1230,558,646,26,0
41360,1327,629,664,34,0
41590,1153,576,552,25,0
41698,1320,663,633,24,0
41927,1410,681,683,46,0
42278,1656,810,790,56,0
42504,1660,842,784,34,0
42532,1746,869,843,34,0
42966,1768,834,879,55,0
43359,1361,660,661,40,0
43389,1342,633,673,36,0
43482,1161,541,597,23,0
43849,1020,540,455,25,0
45216,90,85,4,1,0
45363,1078,511,533,34,0
46068,1527,724,765,38,0
46090,1532,743,759,30,0
46115,1603,774,792,37,0
46164,1662,832,787,43,0
46179,1666,827,790,49,0
46608,1626,774,807,45,0
46818,1486,770,674,42,0
47365,1147,477,653,17,0
47467,1325,688,608,29,0
48046,1345,688,631,26,0
48241,1369,629,708,32,0
48267,1455,650,775,30,0
48349,1338,623,671,44,0
49108,1348,675,633,40,0
49497,1491,708,747,36,0
49584,1285,632,625,28,0
49598,1303,650,630,23,0
49656,1313,659,612,42,0
49679,1318,637,650,31,0
49687,1343,658,661,24,0
49881,1383,679,671,33,0
50365,1382,683,662,37,0
50502,1268,601,646,21,0
50523,1171,537,601,33,0
50545,1133,541,554,38,0
50586,1053,476,548,29,0
50767,1394,678,688,28,0
50895,1325,635,665,25,0
51859,1502,760,710,32,0
52093,1301,653,612,36,0
52141,1301,635,634,32,0
52556,1448,652,764,32,0
53011,1312,683,603,26,0
53077,1426,730,671,25,0
53471,1407,696,668,43,0
53596,1413,685,684,44,0
53890,1435,707,687,41,0
54379,1428,719,672,37,0
54490,1216,582,606,28,0
54946,1467,688,742,37,0
55070,1507,750,716,41,0
55345,1515,795,672,48,0
55588,1276,714,534,28,0
55619,1217,577,614,26,0
56155,1374,680,662,32,0
56929,1090,678,406,6,0
56962,1231,577,636,18,0
56967,1207,563,622,22,0
57157,1515,691,789,35,0
57189,1553,746,779,28,0
57234,1468,712,716,40,0
57243,1441,695,698,48,0
57334,1352,725,588,39,0
57805,1236,594,605,37,0
57851,1387,668,686,33,0
58279,1555,794,714,47,0
58356,1461,723,695,43,0
58524,1310,655,620,35,0
58573,1328,673,625,30,0
58765,1337,650,657,30,0
59034,1569,750,770,49,0
59146,1534,814,671,49,0
59321,1372,687,658,27,0
59510,1396,686,679,31,0
59555,1361,672,655,34,0
59561,1353,653,660,40,0
59773,1814,501,1230,83,0
59797,2032,1070,883,79,0
59868,2118,1069,969,80,0
59896,2096,1045,963,88,0
59922,2008,915,1024,69,0
59971,1849,923,876,50,0
60076,1594,770,777,47,0
60081,1600,769,786,45,0
60121,1510,709,758,43,0
60151,1400,704,646,50,0
60170,1483,729,709,45,0
60244,1448,712,701,35,0
60721,1524,741,749,34,0
60722,1531,754,744,33,0
60826,1474,702,717,55,0
61028,815,705,109,1,0
61039,882,659,219,4,0
61127,1458,655,756,47,0
61190,1480,683,761,36,0
61232,1494,723,740,31,0
61275,1440,692,708,40,0
61418,1439,691,701,47,0
61995,1708,818,836,54,0
62726,1666,855,760,51,0
62804,1784,871,862,51,0
62811,1668,820,806,42,0
63216,1477,773,662,42,0
63300,1473,707,727,39,0
63504,1405,689,679,37,0
63528,1447,702,708,37,0
63541,1378,669,664,45,0
63545,1453,735,671,47,0
63653,1493,844,606,43,0
63839,1465,725,701,39,0
64139,1174,544,607,23,0
64290,1468,695,734,39,0
64293,1432,682,707,43,0
64375,1506,737,732,37,0
64525,1386,649,710,27,0
64545,1465,707,724,34,0
64561,1480,701,740,39,0
64832,1553,805,700,48,0
64834,1564,810,702,52,0
64839,1510,770,699,41,0
64935,1377,729,614,34,0
64950,1348,728,595,25,0
65064,1468,782,658,28,0
65094,1392,752,601,39,0
65186,1534,769,729,36,0
65206,1505,758,703,44,0
65233,1543,759,738,46,0
65250,1559,780,731,48,0
65313,1466,702,726,38,0
65350,1412,666,714,32,0
65456,1265,593,646,26,0
65898,1361,655,659,47,0
66113,1353,657,653,43,0
66230,1432,736,648,48,0
66478,1726,1063,618,45,0
66552,1503,689,755,59,0
66957,1379,691,645,43,0
67107,1361,635,682,44,0
67529,1504,727,739,38,0
67659,1562,739,790,33,0
67718,1406,680,691,35,0
67780,1351,672,640,39,0
67805,1390,725,627,38,0
67845,1273,668,563,42,0
67895,1408,752,623,33,0
67902,1455,752,663,40,0
67978,1406,668,702,36,0
68082,1381,659,691,31,0
68720,1517,729,745,43,0
68762,1525,715,764,46,0
68765,1495,695,761,39,0
69136,1584,787,745,52,0
69621,1285,624,632,29,0
69675,1370,707,626,37,0
69990,1434,727,672,35,0
70023,1433,722,678,33,0
70227,1523,775,706,42,0
70254,1520,793,690,37,0
70457,1469,741,691,37,0
70481,1442,723,683,36,0
70718,1396,665,681,50,0
70900,1403,665,708,30,0
71168,1464,722,700,42,0
71207,1489,756,693,40,0
71264,1397,674,682,41,0
71523,1253,627,604,22,0
71645,1318,671,621,26,0
72290,1085,531,534,20,0
72338,1156,573,557,26,0
72434,1209,647,528,34,0
73193,1218,609,588,21,0
73466,1283,573,678,32,0
73760,1284,636,615,33,0
74634,1455,717,700,38,0
74663,1457,723,692,42,0
74701,1434,715,677,42,0
74712,1449,731,677,41,0
74731,1347,655,654,38,0
74739,3,3,0,0,0
75082,1293,650,600,43,0
75208,1339,679,619,41,0
75655,1376,675,669,32,0
75706,1352,681,632,39,0
75728,1416,683,691,42,0
76025,1514,752,730,32,0
76036,1560,773,741,46,0
76252,1180,557,584,39,0
76567,1431,669,732,30,0
76568,1431,673,722,36,0
76572,1435,664,734,37,0
76795,1401,686,678,37,0
76974,1346,680,637,29,0
77053,1534,781,710,43,0
77295,1792,882,870,40,0
77418,1681,806,824,51,0
77646,1377,675,653,49,0
77910,1620,814,756,50,0
78181,1371,672,670,29,0
78264,1410,690,692,28,0
78578,1496,767,679,50,0
78587,1464,732,694,38,0
78590,1462,733,690,39,0
78644,1428,725,670,33,0
78875,1272,635,613,24,0
78945,1350,695,628,27,0
79321,1367,629,706,32,0
79322,1368,633,700,35,0
79387,1536,726,773,37,0
79389,1543,713,797,33,0
79474,1576,747,784,45,0
79600,1484,684,751,49,0
79621,1454,666,746,42,0
79687,1428,643,750,35,0
79744,1302,577,693,32,0
79746,1314,577,715,22,0
79782,1354,635,684,35,0
79801,1380,659,694,27,0
79852,1412,663,719,30,0
79893,1450,711,704,35,0
79909,1483,718,729,36,0
80056,1365,640,689,36,0
80089,1336,616,674,46,0
80153,1434,684,703,47,0
80250,1442,705,701,36,0
80251,1460,713,715,32,0
80312,1319,611,665,43,0
80374,1307,614,650,43,0
80379,1357,607,710,40,0
80414,1376,609,732,35,0
80430,1433,640,758,35,0
80440,1438,634,764,40,0
80445,1376,598,732,46,0
80448,1416,589,778,49,0
80454,1471,643,775,53,0
80467,1483,668,762,53,0
80483,1435,652,734,49,0
80506,1536,694,789,53,0
80612,1526,706,774,46,0
80723,1493,733,713,47,0
80742,1428,701,684,43,0
80784,1477,748,686,43,0
80820,1465,739,687,39,0
80843,1437,734,665,38,0
80856,1420,702,679,39,0
80858,1418,703,678,37,0
80878,1386,713,638,35,0
81145,1486,708,744,34,0
81257,1350,584,723,43,0
81585,1343,631,667,45,0
81776,1382,674,673,35,0
81855,1341,647,658,36,0
81868,1348,647,667,34,0
81963,1204,580,595,29,0
82290,1461,724,699,38,0
82312,1449,697,709,43,0
82570,1289,613,640,36,0
82754,1304,632,639,33,0
82818,1346,666,646,34,0
82949,1478,736,701,41,0
83019,1390,711,638,41,0
83045,1375,696,636,43,0
83082,1447,731,674,42,0
83178,1532,718,765,49,0
83205,1530,713,760,57,0
83206,1534,717,762,55,0
83241,1306,639,638,29,0
83327,1564,777,745,42,0
83419,1394,561,794,39,0
83420,1389,549,796,44,0
83424,1406,566,802,38,0
83425,1391,560,789,42,0
83514,1578,761,767,50,0
83684,1475,729,702,44,0
83947,1543,744,755,44,0
84173,1264,623,613,28,0
84213,1296,624,642,30,0
84449,1449,696,713,40,0
84569,1326,577,708,41,0
84632,1360,670,659,31,0
84722,1357,661,660,36,0
84947,1349,689,626,34,0
85346,1326,607,683,36,0
85442,1346,610,696,40,0
85492,1321,573,712,36,0
85505,1354,614,690,50,0
85593,1397,666,699,32,0
85844,1456,678,741,37,0
85895,1443,651,755,37,0
86094,1677,807,830,40,0
86111,1713,811,856,46,0
86164,1483,698,750,35,0
86165,1512,692,784,36,0
86474,1487,710,735,42,0
86774,1654,775,818,61,0
86810,1638,798,800,40,0
86834,1656,831,780,45,0
87227,1614,808,761,45,0
87312,1480,685,764,31,0
87483,1679,804,832,43,0
88010,1770,842,889,39,0
88301,1327,646,642,39,0
88325,1256,604,611,41,0
88422,1339,617,673,49,0
88441,1295,569,689,37,0
88505,1422,676,703,43,0
88760,1532,675,808,49,0
88875,1618,779,782,57,0
89066,1422,677,713,32,0
89384,1315,599,693,23,0
89537,1381,620,714,47,0
89546,1363,633,690,40,0
89754,1313,658,606,49,0
89816,1333,635,653,45,0
90061,1526,735,751,40,0
90257,1347,639,678,30,0
90638,1391,629,718,44,0
90975,1349,627,695,27,0
91318,1302,632,638,32,0
91325,1288,613,638,37,0
91537,1406,700,674,32,0
91642,1261,602,627,32,0
91767,1849,915,880,54,0
91837,1647,768,839,40,0
91977,1643,675,913,55,0
92275,1382,626,717,39,0
92293,1351,614,691,46,0
92350,1373,644,696,33,0
92364,1367,660,673,34,0
92890,1460,656,764,40,0
93227,1449,664,739,46,0
93797,1372,638,703,31,0
94008,1844,856,930,58,0
94137,1486,705,735,46,0
94379,1531,742,750,39,0
94417,1527,747,748,32,0
94538,1663,788,829,46,0
94648,1590,789,767,34,0
94963,1384,643,699,42,0
95033,1282,666,576,40,0
95432,1422,680,702,40,0
95525,1381,673,673,35,0
95862,1571,725,788,58,0
96121,1594,817,731,46,0
96124,1530,744,752,34,0
96217,1483,748,680,55,0
96257,1512,762,713,37,0
96268,1520,758,724,38,0
96471,1443,665,732,46,0
96643,1570,773,747,50,0
96663,1532,755,727,50,0
96776,1406,699,668,39,0
96799,1414,708,657,49,0
97156,1371,635,695,41,0
97262,1242,603,607,32,0
97292,1150,521,600,29,0
97315,1258,609,616,33,0
97326,1248,586,634,28,0
97330,1240,576,629,35,0
97444,1213,624,554,35,0
97521,1356,641,679,36,0
97639,1310,605,676,29,0
97828,1369,612,720,37,0
97927,1439,674,727,38,0
98128,1512,702,778,32,0
98297,1211,581,604,26,0
98345,1402,654,717,31,0
98507,1550,712,801,37,0
98744,1285,625,614,46,0
98807,1253,603,621,29,0
99245,1443,684,728,31,0
99689,1452,694,720,38,0
99854,1295,597,668,30,0
99929,1344,653,659,32,0
100317,1501,736,730,35,0
100477,1018,156,851,11,0
100715,1730,807,862,61,0
100723,1778,825,893,60,0
101118,1649,714,886,49,0
101326,1580,739,797,44,0
101433,1374,656,692,26,0
101500,1434,691,707,36,0
101602,1372,638,707,27,0
101608,1356,643,688,25,0
101644,1364,654,679,31,0
101679,1310,602,668,40,0
101705,1346,624,684,38,0
101707,1339,607,692,40,0
101723,1346,646,664,36,0
101871,1297,603,661,33,0
101893,1314,632,640,42,0
102008,1170,541,599,30,0
102115,1211,566,621,24,0
102601,1293,645,612,36,0
102763,1285,653,599,33,0
102841,1253,624,599,30,0
102952,1313,656,622,35,0
102997,1332,603,694,35,0
103171,1112,525,564,23,0
103172,1144,525,595,24,0
103351,1589,710,832,47,0
103400,1523,656,836,31,0
103440,1654,772,839,43,0
103454,1624,712,862,50,0
103456,1635,731,862,42,0
103478,1580,723,822,35,0
103480,1584,731,817,36,0
103509,1624,792,793,39,0
103532,1495,672,795,28,0
103546,1491,683,778,30,0
103552,1493,688,767,38,0
103656,1566,744,776,46,0
103829,1605,795,760,50,0
104093,1724,933,738,53,0
104108,1714,922,736,56,0
104186,1390,679,677,34,0
104556,1707,775,887,45,0
104576,1695,789,865,41,0
104599,1730,779,904,47,0
104601,1735,787,903,45,0
104722,1758,888,820,50,0
104780,1600,769,784,47,0
104854,1533,710,780,43,0
104927,1432,690,706,36,0
104978,1291,640,623,28,0
105019,1323,551,728,44,0
105075,1412,611,752,49,0
105197,1549,712,803,34,0
105244,1526,714,776,36,0
105348,1464,698,730,36,0
105373,1443,679,721,43,0
105390,1427,657,723,47,0
105448,1350,626,696,28,0
105592,1326,628,662,36,0
105898,1625,743,829,53,0
105920,1659,776,832,51,0
106057,1488,695,761,32,0
106066,1453,679,744,30,0
106143,1428,708,680,40,0
106297,1399,684,661,54,0
106306,1412,706,659,47,0
106320,1444,696,685,63,0
106337,1460,725,688,47,0
106426,1507,725,737,45,0
106696,1343,641,643,59,0
107265,1442,643,766,33,0
107297,1447,659,757,31,0
107759,1266,658,568,40,0
107930,1132,560,553,19,0
107963,1209,543,638,28,0
107994,1227,551,654,22,0
108056,1266,608,629,29,0
108161,1234,628,570,36,0
108281,1593,746,784,63,0
108611,1231,597,600,34,0
108806,1061,514,521,26,0
108845,1109,500,582,27,0
108917,1205,572,606,27,0
109279,1315,631,656,28,0
109331,1330,659,637,34,0
109355,1357,679,644,34,0
109468,1322,635,647,40,0
109550,1420,673,712,35,0
109828,1523,671,809,43,0
109836,1550,705,794,51,0
110284,1619,793,776,50,0
110285,1633,745,834,54,0
110352,1551,744,762,45,0
110433,1723,787,879,57,0
110696,1233,621,578,34,0
111349,1432,708,682,42,0
111716,1770,837,880,53,0
112122,1560,754,756,50,0
112233,1585,737,792,56,0
112236,1549,729,768,52,0
112284,1421,701,669,51,0
112308,1392,623,720,49,0
112515,1357,653,663,41,0
112560,1367,668,671,28,0
112809,1492,704,755,33,0
113295,1315,630,648,37,0
113442,1320,636,646,38,0
113458,1327,630,659,38,0
113472,1379,653,680,46,0
113491,1415,682,691,42,0
113547,1392,643,706,43,0
113548,1312,609,661,42,0
113554,1387,675,673,39,0
113998,1393,658,703,32,0
114010,1565,741,781,43,0
114144,1553,804,701,48,0
114147,1562,795,726,41,0
114170,1473,771,657,45,0
114279,1622,837,751,34,0
114379,1561,776,750,35,0
114468,1479,731,726,22,0
114755,1219,598,578,43,0
114797,1270,629,605,36,0
115009,1472,757,667,48,0
115035,1525,733,738,54,0
115328,1620,810,769,41,0
115541,1369,697,644,28,0
115568,1416,695,686,35,0
115605,1446,709,706,31,0
116227,1409,685,684,40,0
116332,1348,675,625,48,0
116482,1267,649,574,44,0
116794,1237,576,629,32,0
117891,1525,704,774,47,0
117925,1556,711,805,40,0
117968,1570,745,791,34,0
118488,1184,591,566,27,0
118702,1309,646,624,39,0
118765,1313,635,645,33,0
118956,1212,600,569,43,0
118971,1264,595,636,33,0
119131,1411,714,656,41,0
119718,1476,744,700,32,0
120215,1356,629,694,33,0
121089,1534,781,726,27,0
121098,1628,826,766,36,0
121593,1414,671,701,42,0
121624,1321,669,620,32,0
121676,1325,688,592,45,0
121939,2256,1127,1067,62,0
121955,1544,760,728,56,0
122163,1585,755,784,46,0
122524,1385,685,648,52,0
122546,1424,706,685,33,0
122569,1451,726,686,39,0
122596,1493,752,693,48,0
122629,1521,753,727,41,0
122656,1538,739,753,46,0
122724,1601,758,792,51,0
123113,1059,479,549,31,0
123193,1300,612,659,29,0
123439,1541,726,773,42,0
123739,1335,618,680,37,0
123745,1211,529,646,36,0
124321,1451,686,716,49,0
124630,1424,599,782,43,0
124666,1366,712,608,46,0
125130,1537,762,726,49,0
125401,1495,733,724,38,0
126391,1238,576,630,32,0
126416,1263,600,627,36,0
126981,1334,686,607,41,0
127692,1134,563,548,23,0
127767,1085,516,544,25,0
127782,1163,574,563,26,0
127800,1149,564,552,33,0
127812,1209,603,572,34,0
127834,1163,554,586,23,0
127854,1223,595,603,25,0
127869,1186,559,594,33,0
127965,1098,465,598,35,0
127974,1096,610,456,30,0
128025,1110,531,552,27,0
128029,1091,533,527,31,0
128034,1092,530,530,32,0
128040,1056,484,545,27,0
128052,1096,521,546,29,0
128061,1102,524,551,27,0
128121,1102,517,551,34,0
128328,1410,671,711,28,0
128361,1478,694,758,26,0
128418,1889,866,967,56,0
128454,1880,867,947,66,0
128461,1864,863,941,60,0
128484,1826,850,928,48,0
128506,1897,884,965,48,0
128538,1809,825,938,46,0
128571,1555,705,821,29,0
128577,1509,697,780,32,0
128589,1513,693,788,32,0
128619,1474,653,792,29,0
128679,1380,598,748,34,0
128682,1348,606,703,39,0
128688,1393,625,741,27,0
128691,1408,601,769,38,0
128715,1411,591,781,39,0
128717,1363,596,732,35,0
128721,1395,587,772,36,0
128724,1396,595,761,40,0
128743,1402,603,761,38,0
128772,1350,592,715,43,0
128775,1354,607,712,35,0
128823,1373,585,745,43,0
128861,1339,554,745,40,0
128866,1412,623,743,46,0
128873,1388,628,712,48,0
128885,1343,580,716,47,0
128886,1349,584,721,44,0
128913,1390,617,732,41,0
128920,1362,579,733,50,0
128931,1310,568,706,36,0
128934,1314,568,707,39,0
128940,1302,576,687,39,0
129117,1292,568,691,33,0
129270,1360,629,697,34,0
129666,1152,535,593,24,0
130517,1302,659,609,34,0
130640,1622,842,733,47,0
130711,1730,906,777,47,0
130729,1612,818,754,40,0
130730,1613,815,758,40,0
130869,1457,746,677,34,0
130967,1241,623,588,30,0
131075,1191,601,557,33,0
131141,1223,597,581,45,0
131453,1463,766,651,46,0
131512,1506,812,652,42,0
131600,1521,818,656,47,0
131625,1498,809,647,42,0
131989,1384,696,653,35,0
132120,1490,750,692,48,0
132148,1508,746,702,60,0
132259,1462,731,681,50,0
132281,1510,745,723,42,0
132560,1392,726,619,47,0
134327,1250,606,605,39,0
135298,1614,787,776,51,0
135409,1214,588,590,36,0
136069,1403,694,683,26,0
136202,1295,649,616,30,0
136516,1216,634,550,32,0
136920,1179,629,518,32,0
136940,1209,625,556,28,0
136987,1245,618,598,29,0
137047,1171,583,555,33,0
137351,1458,776,637,45,0
137410,1806,980,765,61,0
137511,1707,895,758,54,0
137711,1450,758,648,44,0
137766,1392,709,644,39,0
137808,1248,511,709,28,0
138088,1573,785,753,35,0
138482,1540,773,721,46,0
138534,1340,639,670,31,0
138559,1373,649,685,39,0
138846,1322,661,631,30,0
139234,1502,758,697,47,0
139426,1564,812,699,53,0
139681,1500,725,722,53,0
140685,1534,741,743,50,0
140808,1245,610,601,34,0
140835,1357,666,653,38,0
140862,1279,604,640,35,0
141006,1450,700,711,39,0
141245,1545,764,732,49,0
141469,1533,791,695,47,0
141505,1477,746,695,36,0
141575,1461,734,685,42,0
141605,1386,688,656,42,0
141606,1380,710,636,34,0
141921,1555,782,714,59,0
142603,1427,695,692,40,0
142711,1388,659,688,41,0
142762,1294,680,584,30,0
142799,1286,616,638,32,0
143626,1837,919,857,61,0
143653,1834,917,851,66,0
143902,1539,820,689,30,0
144208,1279,652,596,31,0
144796,1275,617,618,40,0
145562,1443,701,713,29,0
145686,1241,592,621,28,0
145687,1241,588,616,37,0
145769,1248,597,608,43,0
145805,1096,541,526,29,0
146231,1401,705,656,40,0
146252,1412,704,664,44,0
146675,1207,600,573,34,0
147092,1401,692,666,43,0
147362,1253,568,649,36,0
147374,1256,587,632,37,0
147377,1267,597,633,37,0
147431,1297,648,613,36,0
147591,1347,700,617,30,0
147846,1038,583,423,32,0
148010,1376,716,625,35,0
148638,1151,605,514,32,0
148986,1323,676,619,28,0
149240,1281,657,588,36,0
149311,1247,605,608,34,0
149500,1289,614,639,36,0
149678,1182,626,530,26,0
149689,1130,597,511,22,0
150223,1334,704,596,34,0
150307,1186,600,555,31,0
150382,1323,652,621,50,0
150486,1396,684,675,37,0
150567,1236,635,564,37,0
150634,1335,659,630,46,0
150745,1253,620,602,31,0
150784,1190,610,553,27,0
150838,1197,570,597,30,0
151009,1353,670,654,29,0
151696,1169,569,575,25,0
151765,1082,530,529,23,0
152053,1336,626,673,37,0
152269,1378,646,697,35,0
152920,1228,589,603,36,0
153229,1683,825,808,50,0
153267,1343,666,641,36,0
153283,1372,703,634,35,0
153397,1429,739,665,25,0
153415,1433,746,657,30,0
153457,1472,740,697,35,0
153559,1389,696,664,29,0
153605,1401,725,644,32,0
153625,1346,692,622,32,0
153691,1288,629,625,34,0
153712,1264,670,559,35,0
154012,1229,657,528,44,0
154372,1201,654,525,22,0
154633,1415,674,704,37,0
154696,1300,626,629,45,0
155368,1273,576,663,34,0
155446,1223,558,631,34,0
155447,1322,655,629,38,0
155661,1460,729,697,34,0
155900,1683,825,807,51,0
156110,1895,919,921,55,0
156137,1894,918,921,55,0
156155,1816,875,889,52,0
156313,1934,908,952,74,0
156362,1849,881,903,65,0
156591,1192,585,580,27,0
156943,1365,713,611,41,0
157038,1330,687,616,27,0
157244,1316,673,606,37,0
157424,1653,866,743,44,0
157918,1454,741,687,26,0
157927,1377,695,650,32,0
157969,1424,732,661,31,0
158013,1406,769,605,32,0
158023,1446,785,624,37,0
158032,1488,809,643,36,0
158137,1516,803,672,41,0
158474,1568,847,667,54,0
158505,1680,881,751,48,0
158510,1676,882,750,44,0
158749,1552,775,745,32,0
158918,1524,795,684,45,0
159051,1523,752,722,49,0
159078,1509,779,687,43,0
159114,1551,790,712,49,0
159143,1486,741,704,41,0
159188,1403,718,647,38,0
159194,1490,755,696,39,0
159320,1518,766,714,38,0
159330,1417,712,677,28,0
159555,1457,723,695,39,0
159613,1453,694,725,34,0
159954,1250,620,594,36,0
161006,1581,833,709,39,0
161007,1590,826,728,36,0
161220,1321,697,588,36,0
161244,1213,644,530,39,0
161418,1526,768,724,34,0
161421,1504,732,736,36,0
161826,1274,636,606,32,0
161886,1150,584,539,27,0
162006,1379,718,621,40,0
162543,1659,809,804,46,0
162718,1459,721,701,37,0
162819,1465,730,698,37,0
163327,1397,720,635,42,0
163443,1368,683,644,41,0
163695,1779,772,954,53,0
163809,1878,730,1091,57,0
163842,1369,666,662,41,0
163851,1426,683,696,47,0
